Country / territory of asylum/residence,Origin,Year,Month,Value
#country+asylum,#country+origin,#date+year,#date+month,#affected
France,Madagascar,2008,June,1
France,Madagascar,2008,August,1
France,Madagascar,2008,September,1
France,Madagascar,2008,October,1
France,Madagascar,2008,November,6
France,Madagascar,2008,December,1
Italy,Madagascar,2008,March,4
Italy,Madagascar,2008,July,2
Poland,Madagascar,2008,February,1
Spain,Madagascar,2008,August,1
Sweden,Madagascar,2008,May,1
Switzerland,Madagascar,2008,April,4
Switzerland,Madagascar,2008,October,1
USA (INS/DHS),Madagascar,2008,June,1
USA (EOIR),Madagascar,2008,February,1
USA (EOIR),Madagascar,2008,July,1
Belgium,Madagascar,2009,May,1
Belgium,Madagascar,2009,June,1
Belgium,Madagascar,2009,August,1
Canada,Madagascar,2009,February,1
Canada,Madagascar,2009,April,1
Canada,Madagascar,2009,August,4
Canada,Madagascar,2009,September,1
Canada,Madagascar,2009,December,1
France,Madagascar,2009,February,9
France,Madagascar,2009,March,9
France,Madagascar,2009,April,11
France,Madagascar,2009,May,15
France,Madagascar,2009,June,26
France,Madagascar,2009,July,20
France,Madagascar,2009,August,5
France,Madagascar,2009,September,30
France,Madagascar,2009,October,11
France,Madagascar,2009,November,7
France,Madagascar,2009,December,8
Germany,Madagascar,2009,June,1
Greece,Madagascar,2009,May,1
Greece,Madagascar,2009,September,1
Netherlands,Madagascar,2009,May,1
New Zealand,Madagascar,2009,September,4
Switzerland,Madagascar,2009,November,1
USA (INS/DHS),Madagascar,2009,May,1
USA (INS/DHS),Madagascar,2009,August,2
USA (INS/DHS),Madagascar,2009,November,1
USA (INS/DHS),Madagascar,2009,December,1
USA (EOIR),Madagascar,2009,September,1
Belgium,Madagascar,2010,January,50
Belgium,Madagascar,2010,February,237
Belgium,Madagascar,2010,March,48
Belgium,Madagascar,2010,April,26
Belgium,Madagascar,2010,May,20
Belgium,Madagascar,2010,June,12
Belgium,Madagascar,2010,July,18
Belgium,Madagascar,2010,August,23
Belgium,Madagascar,2010,September,17
Belgium,Madagascar,2010,October,95
Belgium,Madagascar,2010,November,72
Belgium,Madagascar,2010,December,35
Canada,Madagascar,2010,January,4
France,Madagascar,2010,January,9
France,Madagascar,2010,February,2
France,Madagascar,2010,March,19
France,Madagascar,2010,April,5
France,Madagascar,2010,May,7
France,Madagascar,2010,June,9
France,Madagascar,2010,July,10
France,Madagascar,2010,August,27
France,Madagascar,2010,September,82
France,Madagascar,2010,October,41
France,Madagascar,2010,November,29
France,Madagascar,2010,December,21
United Kingdom of Great Britain and Northern Ireland,Madagascar,2010,October,1
Greece,Madagascar,2010,August,2
Italy,Madagascar,2010,October,1
Italy,Madagascar,2010,November,1
Italy,Madagascar,2010,December,1
Sweden,Madagascar,2010,December,1
USA (INS/DHS),Madagascar,2010,March,1
USA (INS/DHS),Madagascar,2010,April,1
USA (INS/DHS),Madagascar,2010,May,1
USA (INS/DHS),Madagascar,2010,July,1
USA (INS/DHS),Madagascar,2010,August,2
USA (INS/DHS),Madagascar,2010,September,2
Austria,Madagascar,2011,December,1
Belgium,Madagascar,2011,April,2
Belgium,Madagascar,2011,May,1
Belgium,Madagascar,2011,June,3
Belgium,Madagascar,2011,September,2
Canada,Madagascar,2011,April,2
France,Madagascar,2011,January,17
France,Madagascar,2011,February,6
France,Madagascar,2011,March,8
France,Madagascar,2011,April,12
France,Madagascar,2011,May,9
France,Madagascar,2011,June,16
France,Madagascar,2011,July,14
France,Madagascar,2011,August,13
France,Madagascar,2011,September,11
France,Madagascar,2011,October,10
France,Madagascar,2011,November,15
France,Madagascar,2011,December,14
Greece,Madagascar,2011,February,1
Greece,Madagascar,2011,October,1
Italy,Madagascar,2011,May,1
Netherlands,Madagascar,2011,August,1
USA (INS/DHS),Madagascar,2011,June,2
USA (INS/DHS),Madagascar,2011,December,1
Belgium,Madagascar,2012,March,1
