X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,physical-address
47.7883459,-22.490695,http://www.openstreetmap.org/way/380692016,nearsighted.resampling.consequently,openstreetmap¶w380692016,CSB II,35.29%,74b5523d68df460ca3be46da75c07863,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
49.6354479,-14.6075303,http://www.openstreetmap.org/node/3871233228,notified.admire.watcher,OpenStreetMap¶n3871233228,CSB II,29.41%,0344b885f44944f58cd8d312f089d0f4,2015/12/01 18:10:18+00,OpenStreetMap,2,hospital,
47.86591585,-21.38082455,http://www.openstreetmap.org/way/384329418,yearly.blameless.afterglows,OpenStreetMap¶w384329418,CSB II,29.41%,2f6c754063f449c3a49be73ed4313570,2016/10/07 16:30:36+00,OpenStreetMap,2,hospital,
47.0431455196847,-19.875733,http://www.openstreetmap.org/way/289368757,turnstile.resumes.rife,openstreetmap¶w289368757,CSB II Ambalavato,35.29%,bfe868e755e84c288df9360ab17005ea,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
48.5823473403502,-15.37619545,http://www.openstreetmap.org/way/435462407,particularly.divisions.unassigned,OpenStreetMap¶w435462407,CSB II Ambodimotso-Sud,29.41%,fc9f36c2d4b4478c9b036ef02116d630,2016/08/03 12:57:41+00,OpenStreetMap,2,hospital,
48.5825134497022,-15.37616645,http://www.openstreetmap.org/way/435461666,carpets.macaroons.fastened,OpenStreetMap¶w435461666,CSB II Ambodimotso-Sud,29.41%,6807a89ad4934d7a90ae68b431ac7f73,2016/08/03 12:51:31+00,OpenStreetMap,2,hospital,
48.5824848007595,-15.37641225,http://www.openstreetmap.org/way/435463381,persevering.inlay.headsets,OpenStreetMap¶w435463381,CSB II Ambodimotso-Sud,29.41%,db635ca7fbaf489693d7076d699da07d,2016/08/03 13:01:35+00,OpenStreetMap,2,hospital,
48.5824454771065,-15.37627055,http://www.openstreetmap.org/way/435463011,clergy.clobbering.extenuating,OpenStreetMap¶w435463011,CSB II Ambodimotso-Sud,29.41%,db8dcf4dfb974f2e915340c18e9202cb,2016/08/03 12:58:29+00,OpenStreetMap,2,hospital,
48.5823558445498,-15.3761501,http://www.openstreetmap.org/way/435462255,piously.ventilating.impresses,OpenStreetMap¶w435462255,CSB II Ambodimotso-Sud,29.41%,e6267378999b4dbdaa0c0e3dd2dacfc6,2016/08/03 12:56:56+00,OpenStreetMap,2,hospital,
48.2278118659971,-18.9161541,http://www.openstreetmap.org/way/457620681,reduce.contested.repealing,OpenStreetMap¶w457620681,CSB II Ambohibary,29.41%,7b7797d8a3514ea6b97e1f9ae0a88407,2016/12/04 07:33:04+00,OpenStreetMap,2,clinic,
47.5436865,-19.032117,http://www.openstreetmap.org/node/2760806448,plunge.heartless.evidently,openstreetmap¶n2760806448,CSB II Anjomakely,35.29%,5337865ee9dd433a95cadb2a2261d824,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
49.9727243,-13.9759215,http://www.openstreetmap.org/node/4340950549,reinsurance.sticks.dogged,OpenStreetMap¶n4340950549,CSB II Antsirabe Nord,29.41%,85164f065911402eaab9836c66215846,2016/08/08 11:30:36+00,OpenStreetMap,2,hospital,
47.8682416939272,-22.3863971,http://www.openstreetmap.org/way/364909916,telephoning.atop.readying,openstreetmap¶w364909916,CSB II Ivato,35.29%,a5f42fd685a64d6482fbdfc112776316,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
47.844734,-22.3002301,http://www.openstreetmap.org/way/362712670,uncompleted.rocket.glitziest,openstreetmap¶w362712670,CSB II Nato,35.29%,f3917dda9050412f98fb92473ebbc03c,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
46.8917870836044,-25.007138,http://www.openstreetmap.org/way/223923275,keychain.took.welcomes,OpenStreetMap¶w223923275,CSB II Soanierana,29.41%,729a44a3f98c4344945bf1c32e207e06,2016/08/04 13:36:15+00,OpenStreetMap,2,hospital,
47.3322986881212,-20.4209495,http://www.openstreetmap.org/way/372702231,flushing.pursuing.healthiest,openstreetmap¶w372702231,CSB Imito,35.29%,cf153dd68bdf4fdfa1ca1dbb25a04719,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
46.2917557653806,-19.58019895,http://www.openstreetmap.org/way/185849165,mindless.tolerably.blamed,openstreetmap¶w185849165,CSB Mandoto,35.29%,3045ebed281a4f9592b20d7ba2d0cb4a,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
48.1538426,-20.8533936,http://www.openstreetmap.org/node/2678754253,regressed.inspirations.shaver,openstreetmap¶n2678754253,CSB Marofototra,35.29%,a9063aa4a3694341aa994bbfc481dd45,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
48.2266216,-21.1850878,http://www.openstreetmap.org/node/2678660841,lollipops.refuting.editorials,openstreetmap¶n2678660841,CSB Tsiatosika,35.29%,112644a9c990452eaba42ed2077d3370,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,
49.9476211019572,-13.8587858,http://www.openstreetmap.org/way/435727164,cryptically.treehouse.identify,OpenStreetMap¶w435727164,CSBII Ampanéféna,29.41%,85778f7b786c45aeb2cd767d78f4aba1,2016/08/05 00:35:43+00,OpenStreetMap,2,hospital,
48.9817345166667,-18.7361789,http://www.openstreetmap.org/way/305968970,introverted.severally.cartoonist,openstreetmap¶w305968970,CSBII Anivorano Est,35.29%,f3faed0aa15f421093dd263cbae86e51,2015/12/11 10:51:22.924+00,OpenStreetMap,2,clinic,
49.2967565694204,-12.26897465,http://www.openstreetmap.org/way/200503090,slithers.resonating.extending,openstreetmap¶w200503090,Centre Hospitalier Universitaire,35.29%,4703beaa390943a8a0bfd06379f3a23e,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,
